G_tag,cluster_id,mz_L,mz_R,tot_estimate,tot_intensity
G48,15,249.09,249.18,2.97929576954,0.0
G49,15,248.09,248.18,1.57527390447,0.0
G39,15,246.08,246.18,522.915643838,525.1
G38,15,247.09,247.18,175.815742495,177.9
G51,15,249.09,249.18,1.23060992078,0.0
G50,15,251.08,251.18,0.0302939952166,0.0
G272,16,628.35,628.44,0.750253819256,0.0
G270,16,627.35,627.43,5.70823690006,0.0
G271,16,627.35,627.43,3.96159000146,0.0
G264,16,629.35,629.45,-1.20823185168e-13,0.0
G269,16,627.35,627.43,-1.16317892431e-13,0.0
G268,16,628.35,628.44,-9.19272046681e-13,0.0
G265,16,627.35,627.43,-2.64285032433e-13,0.0
G267,16,628.35,628.44,-6.37986652011e-13,0.0
G266,16,627.35,627.43,-1.05776161015e-11,0.0
G261,16,626.35,626.43,68.0452651976,147.8
G263,16,625.34,625.43,336.75537464,238.9
G262,16,624.34,624.44,982.870268622,1014.0
G218,17,498.29,498.37,23.8292639481,0.0
G219,17,498.29,498.37,0.262934460871,0.0
G210,17,499.29,499.37,0.6419869421,0.0
G211,17,499.29,499.37,2.17070109267,0.0
G212,17,498.29,498.37,17.5121967575,0.0
G213,17,499.29,499.37,0.0301811389971,0.0
G214,17,499.29,499.37,2.7352608138,0.0
G215,17,499.29,499.37,0.0944268034512,0.0
G216,17,500.29,500.38,0.0736909763356,0.0
G217,17,500.29,500.38,0.249165633071,0.0
G209,17,498.29,498.37,0.822634979401,0.0
G208,17,497.28,497.38,215.310374378,220.5
G207,17,496.28,496.38,546.637519968,547.8
G53,18,274.14,274.23,6.676130553,65.08
G52,18,273.14,273.23,183.899487745,97.13
G56,18,275.14,275.24,-4.21470994251e-242,0.0
G55,18,271.13,271.23,13531.3752285,13700.0
G54,18,272.14,272.23,1964.81466816,1032.0
G318,19,136.0,136.1,0.418108251909,0.0
G315,19,135.01,135.09,0.42616913956,0.0
G317,19,134.0,134.1,11.5856470412,0.0
G316,19,135.01,135.09,7.66769459419,0.0
G313,19,133.0,133.1,171.285449513,172.7
