G_tag,I_tag,M_tag,cluster_id,estimate,formula,g,molType,mz_L,mz_R,q,tot_estimate_tmp,tot_intensity_tmp
G116,I486,M50,1,8.05853011454,C22H33N4O4S1,1,z4,453.18,453.27,1,19.5839008832,87.79
G112,I485,M50,1,5.25645738562,C22H33N4O4S1,1,z4,453.18,453.27,1,5.33432079232,73.54
G116,I485,M50,1,5.67636608019,C22H33N4O4S1,1,z4,453.18,453.27,1,19.5839008832,87.79
G120,I484,M50,1,53.4454939905,C22H33N4O4S1,1,z4,452.21,452.27,1,80.5682619167,56.61
G113,I490,M50,1,0.0492434978373,C22H33N4O4S1,1,z4,455.18,455.27,1,0.817137492448,360.0
G114,I88,M5,1,0.277203360845,C63H98N18O13S1,0,precursor,451.87,451.96,3,1.07240726397,129.0
G117,I84,M5,1,13.1691544954,C63H98N18O13S1,0,precursor,451.21,451.27,3,178.972108212,179.3
G119,I82,M5,1,262.885243899,C63H98N18O13S1,0,precursor,450.53,450.62,3,301.524011931,228.0
G115,I83,M5,1,106.217799053,C63H98N18O13S1,0,precursor,450.86,450.96,3,106.217799053,122.9
G121,I80,M5,1,634.372647712,C63H98N18O13S1,0,precursor,450.21,450.27,3,652.885819027,595.8
G119,I81,M5,1,38.6387680323,C63H98N18O13S1,0,precursor,450.53,450.62,3,301.524011931,228.0
G122,I86,M5,1,6.48192494103,C63H98N18O13S1,0,precursor,451.53,451.63,3,6.48192494103,0.0
G114,I87,M5,1,0.795203903122,C63H98N18O13S1,0,precursor,451.87,451.96,3,1.07240726397,129.0
G110,I79,M5,1,816.357086807,C63H98N18O13S1,0,precursor,449.86,449.96,3,816.357086807,891.4
G117,I85,M5,1,16.5011318443,C63H98N18O13S1,0,precursor,451.21,451.27,3,178.972108212,179.3
G124,I481,M49,1,7.4113691673e-11,C22H33N4O4S1,0,z4,454.18,454.27,1,7.4113691673e-11,0.0
G125,I480,M49,1,6.13582380586e-10,C22H33N4O4S1,0,z4,454.18,454.27,1,6.13582380586e-10,0.0
G112,I478,M49,1,8.43847409105e-10,C22H33N4O4S1,0,z4,453.18,453.27,1,5.33432079232,73.54
G116,I478,M49,1,2.9886702894e-09,C22H33N4O4S1,0,z4,453.18,453.27,1,19.5839008832,87.79
G116,I479,M49,1,1.50537288473e-09,C22H33N4O4S1,0,z4,453.18,453.27,1,19.5839008832,87.79
G121,I473,M49,1,3.27953556048e-07,C22H33N4O4S1,0,z4,450.21,450.27,1,652.885819027,595.8
G120,I476,M49,1,1.64543938397e-08,C22H33N4O4S1,0,z4,452.21,452.27,1,80.5682619167,56.61
G120,I477,M49,1,1.21284523333e-08,C22H33N4O4S1,0,z4,452.21,452.27,1,80.5682619167,56.61
G118,I474,M49,1,3.69530515823e-09,C22H33N4O4S1,0,z4,451.18,451.19,1,71.2974162133,71.55
G117,I474,M49,1,3.69598025595e-09,C22H33N4O4S1,0,z4,451.21,451.27,1,178.972108212,179.3
